City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Guthrie,US,2021-05-25 22:36:54,35.8789,-97.4253,81.7,77,1,9.22
191,Buren,DE,2021-05-25 22:36:54,51.55,8.5667,47.25,86,75,12.66
192,Tuktoyaktuk,CA,2021-05-25 22:36:55,69.4541,-133.0374,30.2,80,90,9.22
193,Castro,BR,2021-05-25 22:36:55,-24.7911,-50.0119,49.62,61,43,1.01
194,Pangody,RU,2021-05-25 22:33:15,65.85,74.4859,40.08,51,99,8.08
195,Najran,SA,2021-05-25 22:36:56,17.4924,44.1277,79.45,19,0,5.19
196,Umm Lajj,SA,2021-05-25 22:36:57,25.0213,37.2685,84.49,45,0,7.99
197,Kissidougou,GN,2021-05-25 22:36:57,9.1848,-10.0999,73.08,93,86,4.07
198,Deputatskiy,RU,2021-05-25 22:36:58,69.3,139.9,46.18,47,1,16.02
199,Yamada,JP,2021-05-25 22:36:58,39.4667,141.95,59.13,64,31,2.51
200,Botro,CI,2021-05-25 22:36:58,7.8525,-5.3106,81.88,85,100,3.02
201,Nakusp,CA,2021-05-25 22:36:59,50.2499,-117.8023,55.74,82,98,2.3
202,Salinas,US,2021-05-25 22:35:46,36.6777,-121.6555,80.56,60,1,18.41
203,Naze,JP,2021-05-25 22:37:00,28.3667,129.4833,67.12,64,99,3.53
204,Kaseda,JP,2021-05-25 22:37:00,31.4167,130.3167,63.63,61,100,6.35
205,Tilichiki,RU,2021-05-25 22:33:10,60.4667,166.1,38.53,84,100,10.13
206,Kaitangata,NZ,2021-05-25 22:37:01,-46.2817,169.8464,43.65,50,100,3.09
207,Samarai,PG,2021-05-25 22:37:01,-10.6167,150.6667,79.61,65,100,13.22
208,Lucapa,AO,2021-05-25 22:37:02,-8.4192,20.7447,61.02,53,2,4.09
209,Mount Isa,AU,2021-05-25 22:36:08,-20.7333,139.5,67.77,52,83,12.66
210,Havre-Saint-Pierre,CA,2021-05-25 22:37:03,50.2334,-63.5986,46.99,93,90,8.05
211,Kahului,US,2021-05-25 22:37:03,20.8947,-156.47,87.82,58,75,19.57
212,Oistins,BB,2021-05-25 22:37:03,13.0667,-59.5333,80.69,61,20,14.97
213,Ippy,CF,2021-05-25 22:35:10,6.2679,21.2247,74.82,79,90,2.15
214,Walvis Bay,NA,2021-05-25 22:37:04,-22.9575,14.5053,58.15,82,0,14.2
215,Dunedin,NZ,2021-05-25 22:33:23,-45.8742,170.5036,48.29,41,100,4.05
216,Esperance,AU,2021-05-25 22:37:05,-33.8667,121.9,49.84,82,38,9.82
217,Saint-Georges,GD,2021-05-25 22:37:05,12.0564,-61.7485,82.08,74,20,11.5
218,Touros,BR,2021-05-25 22:37:05,-5.1989,-35.4608,79.7,81,64,12.21
219,Joue-Les-Tours,FR,2021-05-25 22:37:06,47.3522,0.6691,53.94,71,90,3.0
220,Dalvik,IS,2021-05-25 22:32:56,65.9702,-18.5286,48.13,66,17,4.47
221,Nerang,AU,2021-05-25 22:37:07,-27.9833,153.3333,66.76,80,0,4.34
222,Porto Uniao,BR,2021-05-25 22:33:37,-26.2381,-51.0783,48.04,70,55,1.57
223,Faanui,PF,2021-05-25 22:37:07,-16.4833,-151.75,81.05,71,74,11.3
224,Portland,US,2021-05-25 22:34:12,45.5234,-122.6762,64.42,87,90,1.01
225,Peyima,SL,2021-05-25 22:37:08,8.7,-11.0333,72.86,97,100,1.19
226,Klaksvik,FO,2021-05-25 22:37:09,62.2266,-6.589,49.12,91,96,17.05
227,Kloulklubed,PW,2021-05-25 22:37:10,7.0419,134.2556,77.5,72,53,3.49
228,Marawi,PH,2021-05-25 22:37:10,7.9986,124.2928,66.65,82,89,1.21
229,Fayetteville,US,2021-05-25 22:33:01,35.0527,-78.8784,89.51,49,1,4.61
230,Raul Soares,BR,2021-05-25 22:37:11,-20.1022,-42.4519,69.26,89,54,3.04
231,Presidencia Roque Saenz Pena,AR,2021-05-25 22:37:12,-26.7852,-60.4388,63.91,50,23,4.61
232,Ilulissat,GL,2021-05-25 22:37:12,69.2167,-51.1,35.62,60,16,6.91
233,San Vicente,AR,2021-05-25 22:37:13,-26.6167,-54.1333,49.75,65,46,2.3
234,Hobyo,SO,2021-05-25 22:37:13,5.3505,48.5268,78.01,82,37,23.58
235,Tukums,LV,2021-05-25 22:37:14,56.9669,23.1553,54.75,99,100,5.26
236,Lorengau,PG,2021-05-25 22:37:14,-2.0226,147.2712,78.35,90,100,6.26
237,Hithadhoo,MV,2021-05-25 22:37:15,-0.6,73.0833,84.09,66,100,19.91
238,Burnie,AU,2021-05-25 22:37:15,-41.0667,145.9167,53.2,79,70,19.95
239,Abha,SA,2021-05-25 22:37:16,18.2164,42.5053,69.62,46,20,4.23
240,Jalu,LY,2021-05-25 22:37:16,29.0331,21.5482,81.79,11,0,4.72
241,Hay River,CA,2021-05-25 22:37:16,60.8156,-115.7999,35.56,60,20,8.05
242,Port Hedland,AU,2021-05-25 22:37:17,-20.3167,118.5667,62.65,63,40,9.22
243,Pevek,RU,2021-05-25 22:37:17,69.7008,170.3133,32.49,86,99,1.83
244,San Patricio,US,2021-05-25 22:37:18,28.017,-97.5169,86.09,76,70,17.4
245,Aquiraz,BR,2021-05-25 22:37:18,-3.9014,-38.3911,83.21,70,62,7.85
246,Saskylakh,RU,2021-05-25 22:37:19,71.9167,114.0833,48.16,61,98,4.85
247,Trinidad,BO,2021-05-25 22:37:20,-14.8333,-64.9,76.98,69,11,0.0
